year,start_date,end_date
2023,01/01/2023,02/01/2023
2023,13/02/2023,17/02/2023
2023,03/04/2023,17/04/2023
2023,29/05/2023,04/06/2023
2023,31/07/2023,04/09/2023
2023,23/10/2023,29/10/2023
2023,18/12/2023,31/12/2023
2024,01/01/2024,01/01/2024
2024,12/02/2024,16/02/2024
2024,01/04/2024,14/04/2024
2024,27/05/2024,02/06/2024
2024,29/07/2024,02/09/2024
2024,28/10/2024,03/11/2024
2024,23/12/2024,31/12/2024
2025,01/01/2025,05/01/2025
2025,17/02/2025,23/02/2025
2025,07/04/2025,21/04/2025
2025,26/05/2025,01/06/2025
2025,28/07/2025,01/09/2025
2025,27/10/2025,02/11/2025
2025,22/12/2025,31/12/2025
2026,01/01/2026,04/01/2026
2026,16/02/2026,22/02/2026
2026,03/04/2026,19/04/2026
2026,25/05/2026,31/05/2026
2026,27/07/2026,02/09/2026
2026,26/10/2026,01/10/2026
2026,21/12/2026,31/12/2026
2027,01/01/2027,03/01/2027
2027,15/02/2027,21/02/2027
2027,26/03/2027,11/04/2027
2027,31/05/2027,06/06/2027
2027,28/07/2027,01/09/2027
2027,25/10/2027,31/10/2027
2027,23/12/2027,31/12/2027
